user_input,artist,song title,song_score,lyrics_scores,ft_artist,ft_song title,ft_song_score,ft_lyrics_scores
I am happy today,Keith Sweat,Full Time Lover,0.6094996929168701,{'Today gonna be a good day': 0.6094996929168701},Keith Sweat,Full Time Lover,0.7006922364234924,{'Today gonna be a good day': 0.7006922364234924}
I am happy today,Big & Rich,Big Time,0.5792887806892395,{'Today is even better than yesterday': 0.5792887806892395},Angelina,Tears Are Falling,0.6981034874916077,"{""Seems like I'm happy"": 0.6981034874916077}"
I am happy today,Fine Young Cannibals,Tell Me What,0.5554162263870239,{'Are you happy': 0.5554162263870239},John Anderson,I Wish I Could Have Been There,0.6493516167004904,"{""It was a happy day but kinda' sad"": 0.6502452492713928, ""It was a happy day, but kinda' sad"": 0.6489048004150391}"
I am happy today,Brandi Carlile,Happy,0.5290536135435104,"{""I'm happy, can't you see?"": 0.572655200958252, 'Happy Lyrics[Verse]': 0.3982488512992859}",Fine Young Cannibals,Tell Me What,0.6241939067840576,{'Are you happy': 0.6241939067840576}
I am happy today,Frank Sinatra,A Hundred Years From Today,0.523565411567688,{'Be happy while you may': 0.523565411567688},Brandi Carlile,Happy,0.6208743005990982,"{""I'm happy, can't you see?"": 0.6453840136528015, 'Happy Lyrics[Verse]': 0.5473451614379883}"
I am happy today,John Anderson,I Wish I Could Have Been There,0.5168236692746481,"{""It was a happy day but kinda' sad"": 0.5314561724662781, ""It was a happy day, but kinda' sad"": 0.509507417678833}",Big & Rich,Big Time,0.6056395024061203,"{'Today is even better than yesterday': 0.7196917533874512, ""Everything's just fine"": 0.49158725142478943}"
I am happy today,Depeche Mode,It's No Good,0.507190465927124,"{""Don't say you're happy"": 0.507190465927124}",Babyface,Well Alright,0.5552240610122681,{'In this wake of happiness': 0.5552240610122681}
I am happy today,Marillion,An Accidental Man,0.49508222937583923,"{""You ask me if I'm happy"": 0.49508222937583923}",Calvin Harris,Worst Day,0.5398462414741516,"{""It's one of those days"": 0.5398462414741516}"
I am happy today,Counting Crows,Mr. Jones,0.4890894591808319,{'I wanna be just about as happy as I can be': 0.4890894591808319},Bachman-Turner Overdrive,Can We All Come Together,0.5396010875701904,{'For happier days': 0.5396010875701904}
I am happy today,Madness,Madness (Is All In The Mind),0.4857924282550812,"{""I'm happy the way that I do things"": 0.5222448110580444, ""I've no worries on what tomorrow brings"": 0.4493400454521179}",John Lee Hooker,Doin' The Shout,0.5370786190032959,"{'I was so glad, I was so glad': 0.5463848114013672, ""I'm so glad"": 0.5277724266052246}"
I love the holidays,Green Day,Deadbeat Holiday,0.48695002794265746,"{'Holiday!': 0.5539063215255737, 'Oh, deadbeat holiday': 0.516666054725647, 'Deadbeat holiday': 0.42247453331947327, 'Holiday!4Embed': 0.42078155279159546, 'Christmas lights in the middle of August': 0.3723415434360504}",Green Day,Deadbeat Holiday,0.5986025780439377,"{'Oh, deadbeat holiday': 0.6246929168701172, 'Holiday!': 0.6197922825813293, 'Deadbeat holiday': 0.420870840549469}"
I love the holidays,Connie Francis,Baby's First Christmas,0.48257915675640106,"{""It's a very special Christmas"": 0.5395691394805908, 'A Christmas full of love!': 0.4693789482116699, 'A Christmas full of love!You might also likeEmbed': 0.3817993998527527}",Jessica Simpson,Fly,0.5389953851699829,{'Everyone wants to be kissing on new years eve': 0.5389953851699829}
I love the holidays,Jessica Simpson,Fly,0.4763941168785095,{'Everyone wants to be kissing on new years eve': 0.4763941168785095},Elephant Man,Pon De River Pon De Bank,0.5252800136804581,"{'And December, remember': 0.5759760141372681, ""It's January going up to February"": 0.47458401322364807}"
I love the holidays,Elephant Man,Pon De River Pon De Bank,0.4584755301475525,"{'And December, remember': 0.4584755301475525}",Craig David,Just My Imagination,0.4947487711906433,"{""Imagine that it's late December"": 0.4947487711906433}"
I love the holidays,Art Garfunkel,One Less Holiday,0.4497390389442444,"{'One Less Holiday': 0.5438257455825806, ""One Less Holiday LyricsDon't know what to do"": 0.3556523323059082}",Connie Francis,Baby's First Christmas,0.4890320599079132,"{""It's a very special Christmas"": 0.5276552438735962, 'A Christmas full of love!': 0.5026997923851013, 'A Christmas full of love!You might also likeEmbed': 0.39811795949935913}"
I love the holidays,Fairground Attraction,The Moon is Mine,0.4474489986896515,{'No valentines again': 0.4474489986896515},Herb Alpert & The Tijuana Brass,The Shadow of Your Smile,0.467864990234375,"{'Now when I remember spring, all the joy that love can bring': 0.467864990234375}"
I love the holidays,Bryan Ferry,When She Walks In The Room,0.43929433822631836,{'Christmas trees you were sure': 0.43929433822631836},Justin Bieber,All I Want Is You,0.4656665275494258,"{'Here through the holidays, yeah (Yeah)': 0.6731311082839966, ""Wrapping gifts without you, babe's, like mid-December"": 0.5150166153907776, 'This Christmas, this Christmas, this Christmas': 0.5058526396751404, 'All I want is you this Christmas, this Christmas, this Christmas': 0.4229540228843689, 'All I want is you this Christmas': 0.4033576548099518}"
I love the holidays,Boyz II Men,Can You Stand The Rain,0.4290948510169983,"{'Sunny days, everybody loves them': 0.4290948510169983}",Boyz II Men,Can You Stand The Rain,0.45822688937187195,"{'Sunny days, everybody loves them': 0.45822688937187195}"
I love the holidays,Justin Bieber,All I Want Is You,0.42499404687147874,"{""Wrapping gifts without you, babe's, like mid-December"": 0.45856332778930664, 'All I want is you this Christmas': 0.43889734148979187, 'This Christmas, this Christmas, this Christmas': 0.4228411912918091, 'All I want is you this Christmas, this Christmas, this Christmas': 0.42005205154418945, 'All I want is you this Christmas4Embed': 0.4100583791732788, 'Here through the holidays, yeah (Yeah)': 0.3720318078994751}",Fairground Attraction,The Moon is Mine,0.45180630683898926,{'No valentines again': 0.45180630683898926}
I love the holidays,Melanie,Any Guy,0.4204210638999939,{'I love being free': 0.4204210638999939},Kelly Clarkson,I'll Be Home for Christmas,0.4488926976919174,"{'Christmas Eve will find me': 0.4939979612827301, 'Christmas Eve will find you': 0.4903465509414673, ""I'll be home for Christmas"": 0.4400496482849121, 'And presents under the tree': 0.3888627290725708}"
Christmas is my favorite time of the year,Justin Bieber,All I Want Is You,0.5280083864927292,"{'All I want is you this Christmas': 0.5421940684318542, 'All I want is you this Christmas, this Christmas, this Christmas': 0.5380938053131104, ""Wrapping gifts without you, babe's, like mid-December"": 0.5256372690200806, 'This Christmas, this Christmas, this Christmas': 0.5134154558181763, 'All I want is you this Christmas4Embed': 0.4871593117713928}",Craig David,Just My Imagination,0.5939407348632812,"{""Imagine that it's late December"": 0.5939407348632812}"
Christmas is my favorite time of the year,Green Day,Deadbeat Holiday,0.48696285486221313,"{'Christmas lights in the middle of August': 0.4897661805152893, 'Holiday!': 0.48415952920913696}",Elephant Man,Pon De River Pon De Bank,0.5819200277328491,"{'And December, remember': 0.6227524280548096, ""It's January going up to February"": 0.5410876274108887}"
Christmas is my favorite time of the year,Jessica Simpson,Fly,0.47454845905303955,{'Everyone wants to be kissing on new years eve': 0.47454845905303955},Justin Bieber,All I Want Is You,0.5640923793499286,"{'This Christmas, this Christmas, this Christmas': 0.6473922729492188, ""Wrapping gifts without you, babe's, like mid-December"": 0.5751333236694336, 'All I want is you this Christmas, this Christmas, this Christmas': 0.5666460990905762, 'All I want is you this Christmas': 0.5357849597930908, 'Here through the holidays, yeah (Yeah)': 0.5073227882385254, 'All I want is you this Christmas4Embed': 0.46548986434936523}"
Christmas is my favorite time of the year,Bryan Ferry,When She Walks In The Room,0.47109973430633545,{'Christmas trees you were sure': 0.47109973430633545},Jessica Simpson,Fly,0.5571584701538086,{'Everyone wants to be kissing on new years eve': 0.5571584701538086}
