artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,lyrics
Absurd Minds,Brainwash,0.583,0.865,10,-6.504,0,0.0623,2.58e-05,2.01e-05,0.0481,0.747,119.947,211200,4,
Absurd Minds,Legal Force,0.605,0.982,5,-6.512,0,0.0501,0.000431,0.0,0.337,0.654,118.977,202773,4,"Legal Force LyricsWrong place
Wrong time
Am I a victim or will I be a culprit?
Too many pictures of abundance
They seduce me
Now I'm a culprit
They caught me
They sentence me to custody
Sitting in a prisoncell
Now I'm so alone
Thinking about my offence
Wishing I were home
A prisoner talks to me

Legal force can't reach me
In my mind I'm so free
They can't break me
'Cause I am strong
Breakdown, they've got a long wait coming!

They can't break me
They can't reach me
There's no evil
There's no good
It exists only in your own reality
However your thought
So is your realm
Don't waste your minds on guilt
Find out yourself and learn

A voice talks to meYou might also likeEmbed"
Absurd Minds,I'm Dying Alone,0.549,0.936,7,-7.03,1,0.038,0.0003,0.00302,0.103,0.546,119.007,223707,4,"I’m Dying Alone LyricsI like to destroy
I broke the hearts
Everyday I feel love is a farce
Everyday I see hate dominate
So I do my best to be an asshole
My friends have gone
They left me alone
Now I do everything on my own
Everyday I hear hate dominate
So I do my best to be an asshole
A small life draws to a close
I've hated too long
It's all over and done
I listen to reason
But I'm dying alone
Now it's too late
But it is my fate
It's all over and done and I'm dying alone

I feel my time is running away
For the last time I pray
I can't stop it
I can't return
And loneliness is all around me
My friends have gone
They left me alone
Finally I'm dying on my own
Everyday I hear hate dominate
So I did my best to be an asshole
A small life draws to a closeYou might also likeEmbed"
Absurd Minds,Venture Inward 99,0.483,0.968,7,-5.135,0,0.0633,8.84e-05,0.00606,0.106,0.6,139.963,230000,4,"Venture Inward ’99 LyricsA distant call invites me to fall in dreams
I'm sinking down and I feel no ground
Floating in space. Diving into starry waves
At the back, ahead, below, above
Nothing but shining suns, nothing but sparkling lights
I am everything and everything is me
I make a trip with the speed of minds

A flood of covered thoughts
They come to me. they make me free
So penetrate through the haze
They will come to show their face
The earth appears so small, but so much pleasure
And so much pain
Just an electron satellite of an atomic nucleus
I've chosen my home
At the back, ahead, below, above
Nothing but shining suns, nothing but sparkling lights
I am everything and everything is me
I make a trip with the speed of mindsYou might also likeEmbed"
Absurd Minds,Restrictive Delusion,0.473,0.835,1,-6.828,0,0.0735,0.0321,6.95e-06,0.21,0.691,172.07,211893,4,"Restrictive Delusion LyricsWe appeared as leaders
We appeared as friends
We appeared as teachers
But you've not got it
Think about it longer
It won't do any harm
Please don't distort our words
We came to get you
Another angle of view about your life
We hoped you'd realize
Knowledge doesn't mean to prove the things
It means to feel them
You kiss pictures
You make processions
You organize rituals
Each confession
You wear crosses, crystals and charms
It seems you never change
It's just a fashion
You pour another coat of treacle over your imgage
At the same time you smile
Now you're totally creamed with tacky
Meditations about love and God
You created tears
Restrictive delusion
Far away from truth you hunted us
You created tears
Religious confusion
Far away from truth
You get lost in the physical worldYou might also likeEmbed"
Absurd Minds,The Gash,0.494,0.819,2,-5.507,1,0.0608,1.35e-05,0.0,0.13,0.355,111.957,215200,4,"The Gash LyricsThe dirty town casts a cloud on us
A blanket of smog like a sword of Damocles
Mechanical moves. people cannot smile
Forcing my way through streets
Leaving this monotony for a while
We pile up money. We love our cars
Perverted age. We need our wars

Consumption, selfishness and hate
We will never learn
Stupidity, decay, lack of restraint
We annihilate ourselves
The civilisation is an experience
A learning process
But it's a trap. can you stop turning round the key
And spitting out the exhaust fumes ?
If a sore bursts open you concentrate on it
But do you know - we are this gash

People speak to god, most people speak to god
Only in their final hourYou might also likeEmbed"
Absurd Minds,Fairy Stories,0.568,0.912,2,-7.96,1,0.0382,0.000542,6.73e-05,0.089,0.355,127.974,312400,4,"Fairy Stories LyricsThe enemy out there(x3)

Detonating bombs
Fire everywhere
Extraterrestrial scum
The enemy outthere
Hand me a gun
There is flesh
That is a body and that's a hole
Hand me a gun to make my hole
Hand me a gun to satisfy my soul
The enemy outthere
We need someone to show the evil inside
Aliens in space
So kill them
It's your right

The enemy out there

It was something on TV
And I can't stand it any longer
Fairy stories
Maybe it's wrong what we think and what we do
We don't care
We know the others are capable
Of doing this too
Smallminded hybris
We miss reality

Take aim and shootYou might also likeEmbed"
Absurd Minds,Dreamgame,0.624,0.931,0,-4.989,1,0.0498,0.0265,1e-05,0.0975,0.622,117.997,246000,4,"Dreamgame LyricsAdam fell into a deep dream
But no one ever told that he has woken up
That he has woken up I haven't heard
The time is up. I'm growing old
My cellstructures decompose
But finally I wake up

Tears are running down my face. that's a dream
Now I understand
It's a neverending game in a neverending dreamtime
I´ve had enough. it makes a fool of me
My dream - goodbye. homecoming of the Self
Holographic time I wipe it away
The space around me fades away
Homecoming of the Self
A shot. a pain in my stomach. shedding my blood
Life's going through my mind
It hurts. no clear thoughts. I won't survive
Looking at the bloody knife
The time is up. I have to die
Fear, panic, than a cry
But finally I wake upYou might also likeEmbed"
Absurd Minds,Master Builder,0.672,0.91,11,-6.003,1,0.0757,0.000128,0.365,0.0871,0.654,114.977,254600,4,"Master Builder LyricsOne emotion
(nie geboren, nur geträumt)
Grows up inside of you
(Du bist meine Projektion)
What do you think, what do you feel?
Are you virtual or are you real?
What you think and what you do is a version
That isn`t true
A smile will come to lighten up your sleeping face
So let the night be peaceful
I`m the real one, i`m the master
And i observe what you do
You and me are one in truth
I just see you as my projection
You need another understanding
Come to me, then you will see

So seek not to change the world
But choose to change your mind about the world
The blind become accustomed to their world
By their adjustments to it
And so it is with you, although you aren`t blind
The things you see are what you gave them, nothing more, nothing less
The perception selects and makes the universe you see
You give the orders, it makes the universe you seeYou might also likeEmbed"
Absurd Minds,The Question,0.668,0.796,7,-6.497,1,0.0799,0.0123,0.0188,0.101,0.908,89.979,215853,4,"The Question LyricsHave you not wondered what the world is really like ;
How it would look through happy eyes?
For you it's just a judgement on yourself. - It is not there at all

It's merciless and were it outside you, you should indeed be fearful
Outside's just the untruth
So it was you, who made it merciless
It is not there at all
It is not there at all - just a picture of what you think you are
Of how you see yourself, of how you see yourself
A simple question yet remains and needs an answer
Do you like what you have made -a world of murder and hate ?
A simple question yet remains and needs an answer
Do you know that you have made - a world of murder and hate ?
A simple question yet remains and needs an answer
Now tell me why do you like what you have made

You thread your timid way through constant dangers
Alone and frightened, hoping that death will wait a little longer
Before it overtakes you
Yet fear's insanity, yet fear's insanity
If you change your perspective you would agree
Cause it was you, who made it frightful. - it is not there at allYou might also likeEmbed"
